indicator,market,lag_days,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,granger_p,mutual_info,regime,computed_at,min_p,category,is_significant,unexpected,abs_pearson
rice_mandi,ret_NIFTY50,30,0.018538830689162938,0.4784532828548876,0.06219009959347487,0.01732182104615624,0.04294454467017021,0.013824574655200757,0.18882010134985056,0.03779489492711807,all,1773591017.83056,0.013824574655200757,other,True,False,0.018538830689162938
power_consumption,ret_NIFTY50,30,-0.011604660899569314,0.6594953148098405,-0.05569017044254035,0.034341739027423164,-0.036963236409219793,0.03534758206536298,0.8500953678862709,0.02865791021765851,all,1773591017.83056,0.034341739027423164,other,True,False,0.011604660899569314
GST_collections,ret_NIFTY50,25,-0.009086881114978438,0.7298174307359228,-0.05576699590889274,0.03390804230722303,-0.03796379402799324,0.03049766497817,0.7380688866899718,0.048101409210227875,all,1773591017.83056,0.03049766497817,other,True,False,0.009086881114978438
UPI_volumes,ret_NIFTY50,24,-0.00690833722014678,0.7928155253277608,-0.054686165092929125,0.03746041538019341,-0.03796576647435922,0.030431529246908517,0.4792610761629369,0.05012799009113822,all,1773591017.83056,0.030431529246908517,other,True,False,0.00690833722014678
onion_mandi,ret_NIFTY50,2,-0.0063494222921080465,0.8069900576738572,0.06263878824923005,0.01584185536100011,0.04898588494425877,0.013769343870297386,0.8159972094591993,0.031032907959013034,all,1773591017.83056,0.013769343870297386,other,True,False,0.0063494222921080465
wiki_NIFTY_50,ret_NIFTY50,30,-0.001244675872835878,0.9620482277601841,0.05536185413187349,0.03416791900764987,0.03816202664540604,0.028755995526668944,0.7816319237608131,0.003979846312550883,all,1773591017.83056,0.028755995526668944,digital,True,False,0.001244675872835878
DII_net,ret_BANKNIFTY,14,-0.0498322847875117,0.05569539610474463,-0.03605140893301166,0.16640235334476214,-0.023436285444886507,0.1774875460397365,0.3309849336689932,0.03278060411648376,all,1773591017.83056,0.05569539610474463,other,False,False,0.0498322847875117
wiki_NIFTY_50,ret_BANKNIFTY,0,-0.04909811736547781,0.058717655679778734,0.0005771719842298295,0.9822820341287297,0.00013563470043350816,0.9937581586138923,,0.02822047457675847,all,1773591017.83056,0.058717655679778734,digital,False,False,0.04909811736547781
gtrends_gold price,ret_BANKNIFTY,30,0.042991604194845164,0.10258373629870517,0.03488157979629311,0.18540485767316922,0.022195640173081004,0.206532073615724,2.7511683596756237e-11,0.004792266170397852,all,1773591017.83056,0.10258373629870517,digital,False,False,0.042991604194845164
railway_freight,ret_BANKNIFTY,11,0.04049150873819004,0.1225002055932592,0.0032429163998056445,0.9016036045120241,0.002875646690079679,0.8694210491711887,0.8380775967167668,0.08055180682896079,all,1773591017.83056,0.1225002055932592,other,False,False,0.04049150873819004
wiki_Recession,ret_BANKNIFTY,16,-0.0400137675828012,0.12477726827333678,0.011055619764911269,0.6715921309388982,0.007756036747160753,0.6557074474770889,0.9621845531714595,0.0,all,1773591017.83056,0.12477726827333678,digital,False,False,0.0400137675828012
gtrends_mutual fund SIP,ret_NIFTYIT,28,0.03934823543684573,0.13504057856006477,0.013755852716549949,0.6014653410885945,0.008886064393043758,0.6130414299168647,0.20559118717282757,0.03660586774045882,all,1773591017.83056,0.13504057856006477,digital,False,False,0.03934823543684573
gtrends_layoffs India,ret_NIFTYIT,30,-0.03910183841144359,0.13764031600663518,-0.03035978364368832,0.24909986588582328,-0.020533876248464988,0.2427225482098324,4.015673302484871e-06,0.0034580398619814545,all,1773591017.83056,0.13764031600663518,digital,False,False,0.03910183841144359
